facility_id,facility_name,state,lga,report_month,year,month,quarter,hts_tst,hts_tst_pos,tx_new,tx_curr,tx_ml,pmtct_stat,pmtct_stat_pos,pmtct_art,tb_screen,tb_pos,vl_eligible,vl_result_received,vl_suppressed,date_submitted,reported_by
FCT012,MISSION HOSPITAL BWARI II,FCT,BWARI,2022-11-30,2022,11,4,952.0,39.0,29.0,,23,300.0,9,8,2237.0,36,2271.0,1624.0,1396.0,2022-12-11,Data Clerk
FCT008,TEACHING HOSPITAL GWAGWALADA II,FCT,GWAGWALADA,2023-04-30,2023,4,2,773.0,40.0,34.0,5094,42,102.0,1,0,2875.0,41,3722.0,2467.0,2342.0,2023-05-11,Data Clerk
NAS006,PRIMARY HEALTH CENTRE LAFIA II,NASARAWA,LAFIA,2024-01-31,2024,1,1,244.0,6.0,5.0,952,11,58.0,1,0,526.0,6,753.0,520.0,476.0,2024-02-18,Data Clerk
LAG004,COMPREHENSIVE HEALTH CENTRE SURULERE,LAGOS,SURULERE,2022-03-31,2022,3,1,440.0,6.0,4.0,630,8,92.0,0,0,375.0,8,451.0,383.0,358.0,2022-04-15,Facility Focal Person
AKS005,COMPREHENSIVE HEALTH CENTRE ORON,AKWA IBOM,ORON,2022-01-31,2022,1,1,76.0,0.0,0.0,1332,12,18.0,1,0,736.0,19,1145.0,685.0,644.0,2022-02-13,Data Clerk
LAG015,MODEL PRIMARY HEALTH CENTRE BADAGRY II,LAGOS,BADAGRY,2022-05-01,2022,5,2,259.0,13.0,11.0,1141,12,49.0,2,1,923.0,26,777.0,523.0,501.0,2022-06-18,M&E Officer
FCT001,MISSION HOSPITAL AMAC,FCT,AMAC,2022-02-28,2022,2,1,881.0,3.0,2.0,1385,15,212.0,2,1,950.0,13,975.0,908.0,814.0,2022-03-16,Data Clerk
FCT009,MODEL PRIMARY HEALTH CENTRE KUJE II,FCT,KUJE,2023-02-28,2023,2,1,119.0,4.0,3.0,442,5,17.0,2,1,256.0,1,331.0,211.0,193.0,2023-03-13,Data Clerk
KAD012,COMPREHENSIVE HEALTH CENTRE KADUNA SOUTH II,KADUNA,KADUNA SOUTH,2022-07-31,2022,7,3,402.0,4.0,3.0,647,8,91.0,0,0,386.0,9,555.0,306.0,293.0,2022-08-11,Facility Focal Person
NAS004,COTTAGE HOSPITAL AKWANGA,NASARAWA,AKWANGA,2023-09-30,2023,9,3,357.0,15.0,13.0,505,4,70.0,2,1,303.0,5,352.0,318.0,306.0,2023-10-13,Facility Focal Person
