facility_id,facility_name,state,lga,report_month,hts_tst,hts_tst_pos,tx_new,tx_curr,tx_ml,pmtct_stat,pmtct_stat_pos,pmtct_art,tb_screen,tb_pos,vl_eligible,vl_result_received,vl_suppressed,date_submitted,reported_by
FCT012,Mission Hospital Bwari II,FCT,Bwari,30/11/2022,952,39,29,"2,721",23,300,9,8,2237,36,2271,1624,1396,2022-12-11,Data Clerk
FCT008,Teaching Hospital Gwagwalada II,FCT,Gwagwalada,30/04/2023,773,40,34,5094,42,102,1,0,2875,41,3722,2467,2342,2023-05-11,Data Clerk
NAS006,PRIMARY HEALTH CENTRE LAFIA II,Nasarawa,Lafia,2024-01-31,244,6,5,952,11,58,1,0,526,6,753,520,476,2024-02-18,Data Clerk
LAG004,COMPREHENSIVE HEALTH CENTRE SURULERE,Lagos,Surulere,2022-03-31,440,6,4,630,8,92,0,0,375,8,451,383,358,2022-04-15,Facility Focal Person
AKS005,Comprehensive Health Centre Oron,Akwa-Ibom,Oron,2022-01-31,76,0,0,1332,12,18,1,0,736,19,1145,685,644,2022-02-13,Data Clerk
LAG015,MODEL PRIMARY HEALTH CENTRE BADAGRY II,Lagos,Badagry,May-2022,259,13,11,1141,12,49,2,1,923,26,777,523,501,2022-06-18,M&E Officer
FCT001,Mission Hospital AMAC,FCT,AMAC,28/02/2022,881,3,2,1385,15,212,2,1,950,13,975,908,814,2022-03-16,Data Clerk
FCT009,Model Primary Health Centre Kuje II,FCT,Kuje,28/02/2023,119,4,3,442,5,17,2,1,256,1,331,211,193,2023-03-13,Data Clerk
KAD012,Comprehensive Health Centre Kaduna South II,Kaduna,Kaduna South,2022-07-31,402,4,3,647,8,91,0,0,386,9,555,306,293,2022-08-11,Facility Focal Person
NAS004,  Cottage Hospital Akwanga ,Nasarawa,Akwanga,2023-09-30,357,15,13,505,4,70,2,1,303,5,352,318,306,2023-10-13,Facility Focal Person
NAS004,Cottage Hospital Akwanga,Nasarawa,Akwanga,Jun-2024,382,16,15,567,3,120,2,1,538,12,500,306,284,2024-07-21,M&E Officer
NAS011,Mission Hospital Lafia II,Nasarawa,Lafia,Feb-2023,979,7,5,2673,15,205,1,0,2457,40,1887,1769,1555,2023-03-13,Facility Focal Person
KAD014,General Hospital Sabon Gari II,Kaduna,Sabon Gari,2023-09-30,236,2,1,2393,39,70,2,1,1466,37,1814,1108,975,2023-10-16,M&E Officer
RIV014,Cottage Hospital Obio/Akpor II,Rivers,Obio/Akpor,2023-05-31,1383,10,8,635,7,320,0,0,528,8,577,402,388,2023-06-18,M&E Officer
CRS003,Specialist Hospital Ogoja,Cross River,Ogoja,2022-01-31,1071,42,35,5623,113,247,9,8,5025,100,3883,2563,2119,2022-03-01,Data Clerk
BEN012,Cottage Hospital Vandeikya II,Benue,Vandeikya,2023-02-28,610,2,1,458,6,95,0,0,291,7,420,247,236,2023-03-18,Facility Focal Person
FCT007,  Specialist Hospital Bwari II ,FCT,Bwari,2022-08-31,1755,37,33,4470,29,198,2,1,4084,78,3985,3089,2670,2022-09-16,Data Clerk
