facility_id,report_month,sex,age_band,hts_tst,hts_tst_pos
AKS001,2024-01,Female,<15,24,0
AKS001,2024-01,Female,15-24,63,0
AKS001,2024-01,Female,25-34,63,0
AKS001,2024-01,Female,35-49,51,
AKS001,2024-01,Female,50+,27,0
AKS001,2024-01,M,<15,14,0
AKS001,2024-01,Male,15 - 24,48,0
AKS001,2024-01,Male,25-34,53,0
AKS001,2024-01,Male,35-49,34,0
AKS001,2024-01,Male,50+,16,0
AKS001,2024-02,Female,<15,32,0
AKS001,2024-02,Female,15-24,113,0
AKS001,2024-02,Female,25-34,123,0
AKS001,2024-02,Female,35-49,91,0
AKS001,2024-02,Female,50+,37,0
AKS001,2024-02,M,<15,25,0
AKS001,2024-02,Male,15-24,89,0
AKS001,2024-02,Male,25-34,90,0
AKS001,2024-02,Male,35-49,55,0
AKS001,2024-02,Male,50+,26,0
AKS001,2024-03,Female,<15,33,0
AKS001,2024-03,Female,15-24,99,0
AKS001,2024-03,Female,25-34,93,1
AKS001,2024-03,Female,35-49,76,1
AKS001,2024-03,Female,50+,31,0
AKS001,2024-03,M,<15,25,0
AKS001,2024-03,Male,15-24,57,0
AKS001,2024-03,male,25-34,77,1
AKS001,2024-03,Male,35-49,54,0
AKS001,2024-03,Male,50+,26,0
AKS001,2024-04,Female,<15,30,0
AKS001,2024-04,Female,15-24,86,0
AKS001,2024-04,Female,25-34,117,1
AKS001,2024-04,Female,35-49,81,0
AKS001,2024-04,F,50+,32,0
AKS001,2024-04,Male,<15,23,0
AKS001,2024-04,Male,15-24,67,0
AKS001,2024-04,Male,25-34,84,0
AKS001,2024-04,male,35-49,53,0
AKS001,2024-04,Male,50+,23,0
AKS001,2024-05,Female,<15,34,0
AKS001,2024-05,Female,15-24,110,0
AKS001,2024-05,Female,25-34,117,0
AKS001,2024-05,Female,35-49,90,N/A
AKS001,2024-05,Female,50+,37,0
AKS001,2024-05,M,<15,30,0
AKS001,2024-05,Male,15-24,81,0
AKS001,2024-05,Male,25-34,80,0
AKS001,2024-05,Male,35-49,65,0
AKS001,2024-05,Male,50+,23,N/A
AKS001,2024-06,Female,<15,45,0
AKS001,2024-06,Female,15-24,108,0
AKS001,2024-06,Female,25-34,117,0
AKS001,2024-06,Female,35-49,83,0
AKS001,2024-06,Female,50+,35,0
AKS001,2024-06,Male,<15,31,0
AKS001,2024-06,Male,15-24,73,0
AKS001,2024-06,Male,25-34,92,0
AKS001,2024-06,Male,35-49,57,0
AKS001,2024-06,Male,50+,28,0
AKS001,2024-07,Female,0-14,46,0
AKS001,2024-07,F,15-24,104,0
AKS001,2024-07,Female,25-34,128,1
AKS001,2024-07,Female,35-49,98,1
AKS001,2024-07,Female,50+,46,0
AKS001,2024-07,Male,<15,33,0
AKS001,2024-07,Male,15-24,94,0
AKS001,2024-07,Male,25-34,84,1
AKS001,2024-07,Male,35-49,65,0
AKS001,2024-07,Male,50 and above,30,0
AKS001,2024-08,F,<15,43,0
AKS001,2024-08,Female,15-24,113,0
AKS001,2024-08,Female,25-34,146,1
AKS001,2024-08,F,35-49,117,1
AKS001,2024-08,Female,50+,47,0
AKS001,2024-08,Male,<15,37,0
AKS001,2024-08,Male,15-24,90,0
AKS001,2024-08,Male,25-34,,1
AKS001,2024-08,Male,35-49,75,0
