,state,year,hiv_positivity_yield,linkage_proxy,net_change,vl_coverage,vl_suppression,pmtct_positivity,pmtct_art_coverage,reporting_completeness,reporting_timeliness
0,AKWA IBOM,2022,2.95,,,75.54,92.06,1.7,54.77,106.75,57.47
1,AKWA IBOM,2023,2.85,,,75.31,90.28,1.7,57.44,104.88,61.63
2,AKWA IBOM,2024,2.67,0.81,-899,73.71,90.93,1.5,54.73,102.99,61.63
3,BENUE,2022,2.02,,,74.61,90.92,1.3,59.88,101.75,51.15
4,BENUE,2023,1.94,,,75.02,89.53,1.16,62.26,103.66,56.47
5,BENUE,2024,2.04,0.83,-407,74.34,88.05,1.08,63.53,102.37,59.54
6,CROSS RIVER,2022,3.35,,,74.13,85.86,1.88,60.7,102.96,55.17
7,CROSS RIVER,2023,3.11,,,74.05,89.03,2.13,64.05,101.75,50.57
8,CROSS RIVER,2024,2.54,0.78,593,74.61,90.56,1.89,62.73,102.4,46.2
9,FCT,2022,2.57,,,75.43,91.1,1.75,65.04,102.4,64.91
10,FCT,2023,2.83,,,75.79,89.98,1.63,65.45,103.03,55.29
11,FCT,2024,2.6,0.82,2071,75.54,92.3,1.69,65.9,104.85,50.29
12,KADUNA,2022,3.11,,,77.35,89.51,2.22,70.86,101.84,61.45
13,KADUNA,2023,3.16,,,76.29,90.77,1.82,72.48,103.47,57.54
14,KADUNA,2024,3.35,0.83,7539,76.16,87.14,2.15,74.97,101.2,53.85
15,LAGOS,2022,3.35,,,75.18,87.9,2.23,72.61,102.34,60.57
16,LAGOS,2023,3.24,,,75.76,88.77,2.13,74.1,102.92,54.55
17,LAGOS,2024,3.13,0.77,-2672,74.47,89.25,2.14,77.71,102.99,58.14
18,NASARAWA,2022,2.75,,,76.03,89.8,1.58,68.69,102.37,57.23
19,NASARAWA,2023,2.78,,,75.19,92.43,1.7,72.51,103.66,53.53
20,NASARAWA,2024,2.79,0.82,-1011,75.45,88.7,1.78,75.04,104.24,70.93
21,RIVERS,2022,2.94,,,76.34,87.67,1.71,65.35,104.27,54.97
22,RIVERS,2023,2.76,,,76.27,89.01,1.8,66.51,103.49,62.36
23,RIVERS,2024,2.93,0.82,22652,75.4,89.89,1.85,69.4,105.42,58.29
