indicator,facility_id,state,year,quarter,month,facility_level,value,unit,cohort_direction
HIV Positivity Yield,,AKWA IBOM,2022,,,Primary,2.71,Percent(Per hts_tst),
HIV Positivity Yield,,AKWA IBOM,2022,,,Secondary,3.88,Percent(Per hts_tst),
HIV Positivity Yield,,AKWA IBOM,2022,,,Tertiary,1.22,Percent(Per hts_tst),
HIV Positivity Yield,,AKWA IBOM,2023,,,Primary,2.74,Percent(Per hts_tst),
HIV Positivity Yield,,AKWA IBOM,2023,,,Secondary,3.68,Percent(Per hts_tst),
HIV Positivity Yield,,AKWA IBOM,2023,,,Tertiary,1.14,Percent(Per hts_tst),
HIV Positivity Yield,,AKWA IBOM,2024,,,Primary,2.67,Percent(Per hts_tst),
HIV Positivity Yield,,AKWA IBOM,2024,,,Secondary,3.2,Percent(Per hts_tst),
HIV Positivity Yield,,AKWA IBOM,2024,,,Tertiary,1.56,Percent(Per hts_tst),
HIV Positivity Yield,,BENUE,2022,,,Primary,2.5,Percent(Per hts_tst),
HIV Positivity Yield,,BENUE,2022,,,Secondary,1.29,Percent(Per hts_tst),
HIV Positivity Yield,,BENUE,2022,,,Tertiary,2.21,Percent(Per hts_tst),
HIV Positivity Yield,,BENUE,2023,,,Primary,2.74,Percent(Per hts_tst),
HIV Positivity Yield,,BENUE,2023,,,Secondary,1.05,Percent(Per hts_tst),
HIV Positivity Yield,,BENUE,2023,,,Tertiary,2.11,Percent(Per hts_tst),
HIV Positivity Yield,,BENUE,2024,,,Primary,2.79,Percent(Per hts_tst),
HIV Positivity Yield,,BENUE,2024,,,Secondary,1.1,Percent(Per hts_tst),
HIV Positivity Yield,,BENUE,2024,,,Tertiary,2.25,Percent(Per hts_tst),
HIV Positivity Yield,,CROSS RIVER,2022,,,Primary,3.26,Percent(Per hts_tst),
HIV Positivity Yield,,CROSS RIVER,2022,,,Secondary,3.21,Percent(Per hts_tst),
HIV Positivity Yield,,CROSS RIVER,2022,,,Tertiary,3.5,Percent(Per hts_tst),
HIV Positivity Yield,,CROSS RIVER,2023,,,Primary,2.78,Percent(Per hts_tst),
HIV Positivity Yield,,CROSS RIVER,2023,,,Secondary,2.45,Percent(Per hts_tst),
HIV Positivity Yield,,CROSS RIVER,2023,,,Tertiary,3.61,Percent(Per hts_tst),
HIV Positivity Yield,,CROSS RIVER,2024,,,Primary,2.38,Percent(Per hts_tst),
HIV Positivity Yield,,CROSS RIVER,2024,,,Secondary,4.07,Percent(Per hts_tst),
HIV Positivity Yield,,CROSS RIVER,2024,,,Tertiary,2.37,Percent(Per hts_tst),
HIV Positivity Yield,,FCT,2022,,,Primary,2.94,Percent(Per hts_tst),
HIV Positivity Yield,,FCT,2022,,,Secondary,2.3,Percent(Per hts_tst),
HIV Positivity Yield,,FCT,2022,,,Tertiary,2.97,Percent(Per hts_tst),
HIV Positivity Yield,,FCT,2023,,,Primary,3.52,Percent(Per hts_tst),
HIV Positivity Yield,,FCT,2023,,,Secondary,2.85,Percent(Per hts_tst),
HIV Positivity Yield,,FCT,2023,,,Tertiary,2.6,Percent(Per hts_tst),
HIV Positivity Yield,,FCT,2024,,,Primary,3.13,Percent(Per hts_tst),
HIV Positivity Yield,,FCT,2024,,,Secondary,2.14,Percent(Per hts_tst),
HIV Positivity Yield,,FCT,2024,,,Tertiary,3.02,Percent(Per hts_tst),
HIV Positivity Yield,,KADUNA,2022,,,Primary,3.7,Percent(Per hts_tst),
HIV Positivity Yield,,KADUNA,2022,,,Secondary,3.23,Percent(Per hts_tst),
HIV Positivity Yield,,KADUNA,2022,,,Tertiary,2.87,Percent(Per hts_tst),
HIV Positivity Yield,,KADUNA,2023,,,Primary,3.18,Percent(Per hts_tst),
HIV Positivity Yield,,KADUNA,2023,,,Secondary,3.38,Percent(Per hts_tst),
HIV Positivity Yield,,KADUNA,2023,,,Tertiary,3.11,Percent(Per hts_tst),
HIV Positivity Yield,,KADUNA,2024,,,Primary,3.71,Percent(Per hts_tst),
HIV Positivity Yield,,KADUNA,2024,,,Secondary,2.61,Percent(Per hts_tst),
HIV Positivity Yield,,KADUNA,2024,,,Tertiary,3.58,Percent(Per hts_tst),
HIV Positivity Yield,,LAGOS,2022,,,Primary,3.08,Percent(Per hts_tst),
HIV Positivity Yield,,LAGOS,2022,,,Secondary,1.94,Percent(Per hts_tst),
HIV Positivity Yield,,LAGOS,2022,,,Tertiary,3.97,Percent(Per hts_tst),
HIV Positivity Yield,,LAGOS,2023,,,Primary,3.01,Percent(Per hts_tst),
HIV Positivity Yield,,LAGOS,2023,,,Secondary,1.7,Percent(Per hts_tst),
HIV Positivity Yield,,LAGOS,2023,,,Tertiary,4.04,Percent(Per hts_tst),
HIV Positivity Yield,,LAGOS,2024,,,Primary,2.9,Percent(Per hts_tst),
HIV Positivity Yield,,LAGOS,2024,,,Secondary,2.2,Percent(Per hts_tst),
HIV Positivity Yield,,LAGOS,2024,,,Tertiary,3.42,Percent(Per hts_tst),
HIV Positivity Yield,,NASARAWA,2022,,,Primary,2.04,Percent(Per hts_tst),
HIV Positivity Yield,,NASARAWA,2022,,,Secondary,1.72,Percent(Per hts_tst),
HIV Positivity Yield,,NASARAWA,2022,,,Tertiary,4.37,Percent(Per hts_tst),
HIV Positivity Yield,,NASARAWA,2023,,,Primary,2.19,Percent(Per hts_tst),
HIV Positivity Yield,,NASARAWA,2023,,,Secondary,1.82,Percent(Per hts_tst),
HIV Positivity Yield,,NASARAWA,2023,,,Tertiary,4.28,Percent(Per hts_tst),
HIV Positivity Yield,,NASARAWA,2024,,,Primary,1.91,Percent(Per hts_tst),
HIV Positivity Yield,,NASARAWA,2024,,,Secondary,1.82,Percent(Per hts_tst),
HIV Positivity Yield,,NASARAWA,2024,,,Tertiary,4.14,Percent(Per hts_tst),
HIV Positivity Yield,,RIVERS,2022,,,Primary,2.71,Percent(Per hts_tst),
HIV Positivity Yield,,RIVERS,2022,,,Secondary,2.81,Percent(Per hts_tst),
HIV Positivity Yield,,RIVERS,2022,,,Tertiary,3.16,Percent(Per hts_tst),
HIV Positivity Yield,,RIVERS,2023,,,Primary,2.76,Percent(Per hts_tst),
HIV Positivity Yield,,RIVERS,2023,,,Secondary,2.46,Percent(Per hts_tst),
HIV Positivity Yield,,RIVERS,2023,,,Tertiary,2.95,Percent(Per hts_tst),
HIV Positivity Yield,,RIVERS,2024,,,Primary,2.75,Percent(Per hts_tst),
HIV Positivity Yield,,RIVERS,2024,,,Secondary,2.77,Percent(Per hts_tst),
HIV Positivity Yield,,RIVERS,2024,,,Tertiary,3.0,Percent(Per hts_tst),
Linkage Proxy,AKS001,,2024,,,,0.7,Ratio(Per hts_tst_pos),
Linkage Proxy,AKS002,,2024,,,,0.55,Ratio(Per hts_tst_pos),
Linkage Proxy,AKS003,,2024,,,,0.8,Ratio(Per hts_tst_pos),
Linkage Proxy,AKS004,,2024,,,,0.87,Ratio(Per hts_tst_pos),
Linkage Proxy,AKS005,,2024,,,,0.57,Ratio(Per hts_tst_pos),
Linkage Proxy,AKS006,,2024,,,,0.84,Ratio(Per hts_tst_pos),
Linkage Proxy,AKS007,,2024,,,,0.88,Ratio(Per hts_tst_pos),
Linkage Proxy,AKS008,,2024,,,,0.54,Ratio(Per hts_tst_pos),
Linkage Proxy,AKS009,,2024,,,,0.9,Ratio(Per hts_tst_pos),
Linkage Proxy,AKS010,,2024,,,,0.81,Ratio(Per hts_tst_pos),
Linkage Proxy,AKS011,,2024,,,,0.71,Ratio(Per hts_tst_pos),
Linkage Proxy,AKS012,,2024,,,,0.86,Ratio(Per hts_tst_pos),
Linkage Proxy,AKS013,,2024,,,,0.81,Ratio(Per hts_tst_pos),
Linkage Proxy,AKS014,,2024,,,,0.78,Ratio(Per hts_tst_pos),
Linkage Proxy,AKS015,,2024,,,,0.77,Ratio(Per hts_tst_pos),
Linkage Proxy,BEN001,,2024,,,,0.78,Ratio(Per hts_tst_pos),
Linkage Proxy,BEN002,,2024,,,,0.85,Ratio(Per hts_tst_pos),
Linkage Proxy,BEN003,,2024,,,,0.88,Ratio(Per hts_tst_pos),
Linkage Proxy,BEN004,,2024,,,,0.89,Ratio(Per hts_tst_pos),
Linkage Proxy,BEN005,,2024,,,,0.85,Ratio(Per hts_tst_pos),
Linkage Proxy,BEN006,,2024,,,,0.77,Ratio(Per hts_tst_pos),
Linkage Proxy,BEN007,,2024,,,,0.68,Ratio(Per hts_tst_pos),
Linkage Proxy,BEN008,,2024,,,,0.82,Ratio(Per hts_tst_pos),
Linkage Proxy,BEN009,,2024,,,,0.71,Ratio(Per hts_tst_pos),
Linkage Proxy,BEN010,,2024,,,,0.82,Ratio(Per hts_tst_pos),
Linkage Proxy,BEN011,,2024,,,,0.78,Ratio(Per hts_tst_pos),
Linkage Proxy,BEN012,,2024,,,,0.86,Ratio(Per hts_tst_pos),
Linkage Proxy,BEN013,,2024,,,,0.87,Ratio(Per hts_tst_pos),
Linkage Proxy,BEN014,,2024,,,,0.66,Ratio(Per hts_tst_pos),
Linkage Proxy,BEN015,,2024,,,,0.71,Ratio(Per hts_tst_pos),
Linkage Proxy,CRS001,,2024,,,,0.81,Ratio(Per hts_tst_pos),
Linkage Proxy,CRS002,,2024,,,,0.66,Ratio(Per hts_tst_pos),
Linkage Proxy,CRS003,,2024,,,,0.74,Ratio(Per hts_tst_pos),
Linkage Proxy,CRS004,,2024,,,,0.76,Ratio(Per hts_tst_pos),
Linkage Proxy,CRS005,,2024,,,,0.8,Ratio(Per hts_tst_pos),
Linkage Proxy,CRS006,,2024,,,,0.95,Ratio(Per hts_tst_pos),
Linkage Proxy,CRS007,,2024,,,,0.64,Ratio(Per hts_tst_pos),
Linkage Proxy,CRS008,,2024,,,,0.85,Ratio(Per hts_tst_pos),
Linkage Proxy,CRS009,,2024,,,,0.81,Ratio(Per hts_tst_pos),
Linkage Proxy,CRS010,,2024,,,,0.5,Ratio(Per hts_tst_pos),
Linkage Proxy,CRS011,,2024,,,,0.67,Ratio(Per hts_tst_pos),
Linkage Proxy,CRS012,,2024,,,,0.73,Ratio(Per hts_tst_pos),
Linkage Proxy,CRS013,,2024,,,,0.63,Ratio(Per hts_tst_pos),
Linkage Proxy,CRS014,,2024,,,,0.78,Ratio(Per hts_tst_pos),
Linkage Proxy,CRS015,,2024,,,,0.47,Ratio(Per hts_tst_pos),
Linkage Proxy,FCT001,,2024,,,,0.7,Ratio(Per hts_tst_pos),
Linkage Proxy,FCT002,,2024,,,,0.71,Ratio(Per hts_tst_pos),
Linkage Proxy,FCT003,,2024,,,,0.84,Ratio(Per hts_tst_pos),
Linkage Proxy,FCT004,,2024,,,,0.84,Ratio(Per hts_tst_pos),
Linkage Proxy,FCT005,,2024,,,,0.81,Ratio(Per hts_tst_pos),
Linkage Proxy,FCT006,,2024,,,,0.87,Ratio(Per hts_tst_pos),
Linkage Proxy,FCT007,,2024,,,,0.84,Ratio(Per hts_tst_pos),
Linkage Proxy,FCT008,,2024,,,,0.88,Ratio(Per hts_tst_pos),
Linkage Proxy,FCT009,,2024,,,,0.79,Ratio(Per hts_tst_pos),
Linkage Proxy,FCT010,,2024,,,,0.81,Ratio(Per hts_tst_pos),
