indicator,facility_id,state,year,quarter,month,facility_level,value,unit,cohort_direction
HIV Positivity Yield,,AKWA IBOM,2022,,,Primary,2.708225108225108,Percent,
HIV Positivity Yield,,AKWA IBOM,2022,,,Secondary,3.8753889173329137,Percent,
HIV Positivity Yield,,AKWA IBOM,2022,,,Tertiary,1.215438856930785,Percent,
HIV Positivity Yield,,AKWA IBOM,2023,,,Primary,2.7354447917002287,Percent,
HIV Positivity Yield,,AKWA IBOM,2023,,,Secondary,3.684092773510329,Percent,
HIV Positivity Yield,,AKWA IBOM,2023,,,Tertiary,1.140652520338841,Percent,
HIV Positivity Yield,,AKWA IBOM,2024,,,Primary,2.671369510538032,Percent,
HIV Positivity Yield,,AKWA IBOM,2024,,,Secondary,3.2029615322710447,Percent,
HIV Positivity Yield,,AKWA IBOM,2024,,,Tertiary,1.5636276160692808,Percent,
HIV Positivity Yield,,BENUE,2022,,,Primary,2.497015179942009,Percent,
HIV Positivity Yield,,BENUE,2022,,,Secondary,1.2862042682926829,Percent,
HIV Positivity Yield,,BENUE,2022,,,Tertiary,2.213993822304933,Percent,
HIV Positivity Yield,,BENUE,2023,,,Primary,2.7403780769753845,Percent,
HIV Positivity Yield,,BENUE,2023,,,Secondary,1.047106179286336,Percent,
HIV Positivity Yield,,BENUE,2023,,,Tertiary,2.1141926181157658,Percent,
HIV Positivity Yield,,BENUE,2024,,,Primary,2.793425866775074,Percent,
HIV Positivity Yield,,BENUE,2024,,,Secondary,1.0953849028400597,Percent,
HIV Positivity Yield,,BENUE,2024,,,Tertiary,2.24767063603044,Percent,
HIV Positivity Yield,,CROSS RIVER,2022,,,Primary,3.2643858445250467,Percent,
HIV Positivity Yield,,CROSS RIVER,2022,,,Secondary,3.2147109406006082,Percent,
HIV Positivity Yield,,CROSS RIVER,2022,,,Tertiary,3.501577287066246,Percent,
HIV Positivity Yield,,CROSS RIVER,2023,,,Primary,2.784431137724551,Percent,
HIV Positivity Yield,,CROSS RIVER,2023,,,Secondary,2.4464831804281344,Percent,
HIV Positivity Yield,,CROSS RIVER,2023,,,Tertiary,3.606468637932201,Percent,
HIV Positivity Yield,,CROSS RIVER,2024,,,Primary,2.376181608165767,Percent,
HIV Positivity Yield,,CROSS RIVER,2024,,,Secondary,4.065557108372507,Percent,
HIV Positivity Yield,,CROSS RIVER,2024,,,Tertiary,2.368459868933982,Percent,
HIV Positivity Yield,,FCT,2022,,,Primary,2.9429760156632403,Percent,
HIV Positivity Yield,,FCT,2022,,,Secondary,2.3006484830710074,Percent,
HIV Positivity Yield,,FCT,2022,,,Tertiary,2.9671069974517446,Percent,
HIV Positivity Yield,,FCT,2023,,,Primary,3.5246925757874665,Percent,
HIV Positivity Yield,,FCT,2023,,,Secondary,2.84885527815187,Percent,
HIV Positivity Yield,,FCT,2023,,,Tertiary,2.6039449411096918,Percent,
HIV Positivity Yield,,FCT,2024,,,Primary,3.1258893843088895,Percent,
HIV Positivity Yield,,FCT,2024,,,Secondary,2.1414228341939188,Percent,
HIV Positivity Yield,,FCT,2024,,,Tertiary,3.020256984772966,Percent,
